"timestamp_utc","ciclo","health_ok","health_status","health_latency_ms","metrics_ok","metrics_status","monitor_age_sec","monitor_last_duration_sec","monitor_empresas_falha","ciclos_success","ciclos_partial","ciclos_fatal_error","ciclos_skipped_concurrent","delta_ciclos_total","delta_failure_rate_pct","alertas_total","alertas_critical","alertas_webhook_pagamento_falha","alertas_status_sincronizacao_divergente","alertas_referencia_integracao_invalida","alertas_estorno_falha"
"2026-03-05T11:56:11Z","1","True","200","41,53","True","200","199","0,377","0","9","0","0","0",,,,,,,,
"2026-03-05T12:01:11Z","2","True","200","16,72","True","200","199","0,5","0","10","0","0","0","1","0",,,,,,
"2026-03-05T12:06:11Z","3","True","200","16,22","True","200","199","0,397","0","11","0","0","0","1","0",,,,,,
"2026-03-05T12:11:11Z","4","True","200","15,64","True","200","200","0,357","0","12","0","0","0","1","0",,,,,,
"2026-03-05T12:16:12Z","5","True","200","17,62","True","200","200","0,352","0","13","0","0","0","1","0",,,,,,
"2026-03-05T12:21:12Z","6","True","200","17,18","True","200","200","0,426","0","14","0","0","0","1","0",,,,,,
"2026-03-05T12:26:12Z","7","True","200","13,97","True","200","200","0,388","0","15","0","0","0","1","0",,,,,,
"2026-03-05T12:31:12Z","8","True","200","20","True","200","200","0,369","0","16","0","0","0","1","0",,,,,,
"2026-03-05T12:36:12Z","9","True","200","14,95","True","200","200","0,367","0","17","0","0","0","1","0",,,,,,
"2026-03-05T12:41:12Z","10","True","200","14,19","True","200","200","0,337","0","18","0","0","0","1","0",,,,,,
"2026-03-05T12:46:12Z","11","True","200","17,38","True","200","200","0,425","0","19","0","0","0","1","0",,,,,,
"2026-03-05T12:51:12Z","12","True","200","16,55","True","200","200","0,364","0","20","0","0","0","1","0",,,,,,
"2026-03-05T12:56:12Z","13","True","200","15,86","True","200","200","0,367","0","21","0","0","0","1","0",,,,,,
"2026-03-05T13:01:12Z","14","True","200","13,59","True","200","200","0,339","0","22","0","0","0","1","0",,,,,,
"2026-03-05T13:06:12Z","15","True","200","15,57","True","200","200","0,346","0","23","0","0","0","1","0",,,,,,
"2026-03-05T13:11:12Z","16","True","200","17,88","True","200","41","0,52","0","1","0","0","0","-22",,,,,,,
"2026-03-05T13:16:12Z","17","True","200","23,34","True","200","41","0,385","0","2","0","0","0","1","0",,,,,,
"2026-03-05T13:21:12Z","18","True","200","16,43","True","200","41","0,391","0","3","0","0","0","1","0",,,,,,
